episode,reward,epsilon,lc
0,-90.715626,1.0,0
100,-132.07739600000002,0.994,1
200,-87.383981,0.988,2
300,-136.170674,0.982,1
400,-101.53526600000001,0.976,4
500,-101.30323800000001,0.97,2
600,-102.27638200000001,0.965,5
700,-95.34322800000001,0.959,1
800,-120.44318100000001,0.953,2
900,-116.58373,0.947,2
1000,-101.103228,0.942,1
1100,-88.59193,0.936,3
1200,-88.372652,0.93,4
1300,-101.13926500000001,0.925,5
1400,-90.88098400000001,0.919,1
1500,-94.02953099999999,0.914,5
1600,-119.383828,0.908,3
1700,-95.10898700000001,0.903,1
1800,-100.320114,0.898,3
1900,-73.701328,0.892,4
2000,-119.183818,0.887,3
2100,-115.528389,0.882,1
2200,-106.77383500000002,0.876,4
2300,-125.009103,0.871,4
2400,-122.58491000000001,0.866,9
2500,-107.264633,0.861,2
2600,-111.81502800000001,0.856,7
2700,-77.83716100000001,0.85,1
2800,-96.782084,0.845,6
2900,-111.00682800000001,0.84,3
3000,-102.992005,0.835,4
3100,-122.69856100000001,0.83,2
3200,-90.37050400000001,0.825,4
3300,-81.173382,0.82,6
3400,-110.346924,0.815,2
3500,-82.728666,0.811,4
3600,-99.24981000000001,0.806,9
3700,-126.56813500000001,0.801,5
3800,-107.718152,0.796,8
3900,-115.354443,0.791,6
4000,-120.49114,0.787,3
4100,-109.58210700000001,0.782,2
4200,-86.35664600000001,0.777,5
4300,-90.38783000000001,0.773,3
4400,-104.423101,0.768,4
4500,-87.51746400000002,0.763,11
4600,-124.824206,0.759,5
4700,-128.488223,0.754,5
4800,-124.57125400000001,0.75,8
4900,-99.662159,0.745,5
5000,-122.98630800000001,0.741,8
5100,-114.710216,0.736,10
5200,-106.06556500000002,0.732,5
5300,-85.520026,0.728,9
5400,-92.23543700000002,0.723,5
5500,-96.93746900000001,0.719,7
5600,-84.770729,0.715,3
5700,-121.850576,0.71,9
5800,-106.724905,0.706,9
5900,-101.055833,0.702,8
6000,-83.533268,0.698,12
6100,-112.138812,0.693,5
6200,-111.94754,0.689,7
6300,-121.778923,0.685,9
6400,-116.23126200000002,0.681,11
6500,-101.804302,0.677,7
6600,-111.11050600000002,0.673,7
6700,-110.519635,0.669,5
6800,-93.29299100000001,0.665,6
6900,-90.452701,0.661,13
7000,-80.18193400000001,0.657,11
7100,-93.83548900000001,0.653,6
7200,-84.567535,0.649,12
7300,-84.436972,0.645,8
7400,-96.875789,0.641,12
7500,-100.04207600000001,0.638,15
7600,-103.24315800000001,0.634,11
7700,-122.261126,0.63,8
7800,-111.014588,0.626,11
7900,-109.37212400000001,0.622,18
8000,-110.256146,0.619,14
8100,-90.05407300000002,0.615,12
8200,-123.56484300000001,0.611,16
8300,-114.41568000000001,0.608,17
8400,-95.355564,0.604,13
8500,-95.85787000000002,0.6,15
8600,-100.22933600000002,0.597,13
8700,-92.449582,0.593,18
8800,-124.19591300000002,0.59,11
8900,-94.173822,0.586,17
9000,-106.35372600000001,0.583,20
9100,-108.944255,0.579,10
9200,-85.880818,0.576,10
9300,-88.542586,0.572,20
9400,-102.76871500000001,0.569,17
9500,-90.967343,0.565,12
9600,-74.60878000000001,0.562,19
9700,-96.077562,0.559,18
9800,-105.692587,0.555,21
9900,-96.15836700000001,0.552,31
10000,-86.917034,0.549,22
10100,-96.83420500000001,0.545,23
10200,-111.510519,0.542,22
10300,-97.892323,0.539,18
10400,-90.51797900000001,0.536,7
10500,-96.448327,0.533,15
10600,-74.30648400000001,0.529,20
10700,-76.16864000000001,0.526,24
10800,-97.58488700000001,0.523,17
10900,-95.61545500000001,0.52,17
11000,-91.36596399999999,0.517,26
11100,-94.18297400000002,0.514,17
11200,-82.241887,0.511,23
11300,-87.15348800000001,0.508,37
11400,-95.531873,0.505,31
11500,-100.035701,0.502,32
11600,-121.42367800000001,0.499,32
11700,-114.58505,0.496,17
11800,-71.866207,0.493,31
11900,-119.528676,0.49,19
12000,-113.965909,0.487,28
12100,-96.00410300000001,0.484,21
12200,-93.241848,0.481,17
12300,-64.97186,0.478,25
12400,-95.72730700000001,0.475,31
12500,-98.945715,0.472,26
12600,-81.900777,0.47,29
12700,-82.65562100000001,0.467,38
12800,-85.241574,0.464,30
12900,-93.21676200000002,0.461,42
13000,-97.62924800000002,0.458,35
13100,-100.738988,0.456,38
13200,-69.86336500000002,0.453,44
13300,-91.62806800000001,0.45,37
13400,-77.70022300000001,0.447,32
13500,-100.286854,0.445,34
13600,-103.444967,0.442,35
13700,-109.69216,0.44,40
13800,-119.051456,0.437,27
13900,-69.883047,0.434,30
14000,-97.834241,0.432,44
14100,-77.59973600000001,0.429,27
14200,-74.23385300000001,0.427,30
14300,-113.480515,0.424,42
14400,-103.32674,0.421,33
14500,-74.57773300000001,0.419,37
14600,-95.44747000000001,0.416,40
14700,-80.33135800000001,0.414,39
14800,-100.923471,0.411,56
14900,-99.540334,0.409,50
15000,-87.06409500000001,0.407,44
15100,-106.93683700000001,0.404,41
15200,-98.520616,0.402,44
15300,-91.74366800000001,0.399,42
15400,-106.357888,0.397,32
15500,-112.61423300000001,0.395,35
15600,-100.112908,0.392,45
15700,-80.92222900000002,0.39,27
15800,-90.945441,0.387,43
15900,-85.68774700000002,0.385,44
16000,-115.641369,0.383,64
16100,-113.731104,0.381,40
16200,-118.328073,0.378,35
16300,-104.871487,0.376,47
16400,-104.94828000000001,0.374,55
16500,-102.151373,0.372,49
16600,-86.704688,0.369,60
16700,-91.221266,0.367,52
16800,-84.429212,0.365,44
16900,-107.52410300000003,0.363,52
17000,-80.83504900000001,0.361,60
17100,-93.567017,0.358,57
17200,-122.94431700000001,0.356,62
17300,-96.287131,0.354,64
17400,-79.858714,0.352,50
17500,-83.170263,0.35,49
17600,-83.020989,0.348,62
17700,-102.28789700000002,0.346,46
17800,-91.306647,0.344,81
17900,-102.080127,0.342,67
18000,-102.003898,0.34,55
18100,-108.23099500000001,0.338,54
18200,-92.207167,0.336,65
18300,-90.042151,0.334,51
18400,-113.517937,0.332,59
18500,-89.081486,0.33,62
18600,-101.369494,0.328,68
18700,-112.52247700000001,0.326,70
18800,-95.68129700000001,0.324,40
18900,-106.275698,0.322,72
19000,-90.07736,0.32,63
19100,-93.370198,0.318,61
19200,-103.101087,0.316,81
19300,-89.55912000000001,0.314,93
19400,-98.112429,0.312,94
19500,-82.46116500000001,0.31,64
19600,-70.277927,0.308,70
19700,-112.73204600000001,0.307,64
19800,-104.74729900000001,0.305,73
19900,-80.533167,0.303,71
20000,-110.596428,0.301,88
20100,-83.048845,0.299,81
20200,-110.84480400000001,0.298,68
20300,-87.80743100000001,0.296,68
20400,-110.13612,0.294,76
20500,-122.803217,0.292,73
20600,-103.368324,0.291,78
20700,-82.247848,0.289,80
20800,-104.46509900000001,0.287,83
20900,-81.42273600000001,0.285,88
21000,-95.132831,0.284,64
21100,-109.283973,0.282,88
21200,-114.117546,0.28,85
21300,-97.43381400000001,0.279,69
21400,-84.91280700000002,0.277,84
21500,-94.211808,0.275,88
21600,-96.878566,0.274,76
21700,-93.591689,0.272,99
21800,-91.81949000000002,0.27,85
21900,-107.320502,0.269,93
22000,-88.66775200000001,0.267,67
22100,-95.121887,0.266,86
22200,-89.65780800000002,0.264,92
22300,-77.91256900000002,0.262,99
22400,-103.189238,0.261,106
22500,-90.643145,0.259,85
22600,-106.84328200000002,0.258,94
22700,-103.87422800000002,0.256,78
22800,-113.970071,0.255,95
22900,-74.705112,0.253,86
23000,-94.965674,0.252,76
23100,-85.43659400000001,0.25,78
23200,-91.20296900000001,0.249,83
23300,-94.769833,0.247,76
23400,-96.13605800000002,0.246,104
23500,-104.47923400000002,0.244,88
23600,-102.53267500000001,0.243,79
23700,-91.71858200000001,0.241,93
23800,-101.12528000000002,0.24,81
23900,-104.321786,0.238,88
24000,-85.748456,0.237,108
24100,-98.54487400000001,0.235,99
24200,-92.78888600000002,0.234,75
24300,-103.70028200000002,0.233,106
