pygame 2.6.1 (SDL 2.28.4, Python 3.9.23)
Hello from the pygame community. https://www.pygame.org/contribute.html
Episode 0, Total Reward: -90.715626, Epsilon: 1.000, LC: 0
Episode 100, Total Reward: -132.07739600000002, Epsilon: 0.994, LC: 1
Episode 200, Total Reward: -87.383981, Epsilon: 0.988, LC: 2
Episode 300, Total Reward: -136.170674, Epsilon: 0.982, LC: 1
Episode 400, Total Reward: -101.53526600000001, Epsilon: 0.976, LC: 4
Episode 500, Total Reward: -101.30323800000001, Epsilon: 0.970, LC: 2
Episode 600, Total Reward: -102.27638200000001, Epsilon: 0.965, LC: 5
Episode 700, Total Reward: -95.34322800000001, Epsilon: 0.959, LC: 1
Episode 800, Total Reward: -120.44318100000001, Epsilon: 0.953, LC: 2
Episode 900, Total Reward: -116.58373, Epsilon: 0.947, LC: 2
Episode 1000, Total Reward: -101.103228, Epsilon: 0.942, LC: 1
Episode 1100, Total Reward: -88.59193, Epsilon: 0.936, LC: 3
Episode 1200, Total Reward: -88.372652, Epsilon: 0.930, LC: 4
Episode 1300, Total Reward: -101.13926500000001, Epsilon: 0.925, LC: 5
Episode 1400, Total Reward: -90.88098400000001, Epsilon: 0.919, LC: 1
Episode 1500, Total Reward: -94.02953099999999, Epsilon: 0.914, LC: 5
Episode 1600, Total Reward: -119.383828, Epsilon: 0.908, LC: 3
Episode 1700, Total Reward: -95.10898700000001, Epsilon: 0.903, LC: 1
Episode 1800, Total Reward: -100.320114, Epsilon: 0.898, LC: 3
Episode 1900, Total Reward: -73.701328, Epsilon: 0.892, LC: 4
Episode 2000, Total Reward: -119.183818, Epsilon: 0.887, LC: 3
Episode 2100, Total Reward: -115.528389, Epsilon: 0.882, LC: 1
Episode 2200, Total Reward: -106.77383500000002, Epsilon: 0.876, LC: 4
Episode 2300, Total Reward: -125.009103, Epsilon: 0.871, LC: 4
Episode 2400, Total Reward: -122.58491000000001, Epsilon: 0.866, LC: 9
Episode 2500, Total Reward: -107.264633, Epsilon: 0.861, LC: 2
Episode 2600, Total Reward: -111.81502800000001, Epsilon: 0.856, LC: 7
Episode 2700, Total Reward: -77.83716100000001, Epsilon: 0.850, LC: 1
Episode 2800, Total Reward: -96.782084, Epsilon: 0.845, LC: 6
Episode 2900, Total Reward: -111.00682800000001, Epsilon: 0.840, LC: 3
Episode 3000, Total Reward: -102.992005, Epsilon: 0.835, LC: 4
Episode 3100, Total Reward: -122.69856100000001, Epsilon: 0.830, LC: 2
Episode 3200, Total Reward: -90.37050400000001, Epsilon: 0.825, LC: 4
Episode 3300, Total Reward: -81.173382, Epsilon: 0.820, LC: 6
Episode 3400, Total Reward: -110.346924, Epsilon: 0.815, LC: 2
Episode 3500, Total Reward: -82.728666, Epsilon: 0.811, LC: 4
Episode 3600, Total Reward: -99.24981000000001, Epsilon: 0.806, LC: 9
Episode 3700, Total Reward: -126.56813500000001, Epsilon: 0.801, LC: 5
Episode 3800, Total Reward: -107.718152, Epsilon: 0.796, LC: 8
Episode 3900, Total Reward: -115.354443, Epsilon: 0.791, LC: 6
Episode 4000, Total Reward: -120.49114, Epsilon: 0.787, LC: 3
Episode 4100, Total Reward: -109.58210700000001, Epsilon: 0.782, LC: 2
